assignmentid	workerid	Answer.task	Answer.myanswersA	Answer.myanswersC
3PB5A5BD0V6CYXMK7ADDFAKB3OD7G7	A2C57JVPIOH7F2	"n03624134::knife,n04380916::table saw,n04151940::screen,n03013438::chemise,n03315990::facing,n02909870::bucket,n03659809::lever,n03085602::computer screen,n03028079::church,n04306847::statue"	::1::1::1::1::0::1::1::1::0::1	::1::1::1::1::0::1::1::1::1::1
3OVR4I9USPJ6SZYF88KI6C43I9VQ40	A36LOA6VLJU157	"n03028079::church,n03624134::knife,n02909870::bucket,n03315990::facing,n03659809::lever,n04151940::screen,n03013438::chemise,n04380916::table saw,n03085602::computer screen,n04306847::statue"	::0::1::1::1::1::1::1::1::1::1	::0::1::1::0::1::1::1::1::1::1
39LNWE0K4UWSSZ4BA66RAEBBQC7IUH	AWY5WM7BEBZD8	"n04306847::statue,n03624134::knife,n03013438::chemise,n04380916::table saw,n03315990::facing,n03659809::lever,n03028079::church,n04151940::screen,n03085602::computer screen,n02909870::bucket"	::1::1::1::1::0::0::0::1::1::1	::1::1::1::1::0::0::1::1::1::1
39U1BHVTDLRY2J73PY9U1CNKOG6T34	A347XXV5JH19PB	"n03085602::computer screen,n04380916::table saw,n02909870::bucket,n03624134::knife,n03315990::facing,n03028079::church,n03659809::lever,n04306847::statue,n03013438::chemise,n04151940::screen"	::1::1::1::1::0::0::1::1::1::1	::1::1::1::1::0::1::1::1::1::1
33LK57MYLT5Y8C1HL5ZDV8WD1SSZSJ	A2OXXHGAM7B0Y	"n03085602::computer screen,n03013438::chemise,n03315990::facing,n04151940::screen,n04306847::statue,n03028079::church,n02909870::bucket,n04380916::table saw,n03659809::lever,n03624134::knife"	::1::1::0::1::0::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
31LVTDXBL7A228K0RF8ZXJGJ0HPRLS	A36LOA6VLJU157	"n03306385::express,n04299963::stamp,n03200231::dining area,n04202417::shop,n02999410::chain,n03666591::lighter,n03926412::photographic paper,n02802215::basket,n02666624::a battery,n04285008::sports car"	::0::1::0::0::1::1::1::1::1::0	::0::1::1::1::1::1::0::1::1::1
3L4PIM1GQTGM27RZAUXPRRIF9W0RYR	A1JHDIQ9MNML5N	"n04202417::shop,n03926412::photographic paper,n02802215::basket,n02666624::a battery,n03306385::express,n04299963::stamp,n04285008::sports car,n03666591::lighter,n02999410::chain,n03200231::dining area"	::0::1::1::1::0::1::0::1::1::0	::1::0::1::1::0::1::1::1::0::0
32ZKVD547FNY6XDMPCI91IHYI97B3X	A2OXXHGAM7B0Y	"n03200231::dining area,n03666591::lighter,n04202417::shop,n03306385::express,n02666624::a battery,n03926412::photographic paper,n04285008::sports car,n02802215::basket,n02999410::chain,n04299963::stamp"	::0::1::0::0::1::1::0::1::1::1	::1::1::1::1::1::1::1::1::1::1
3U84XHCDICDF6RZ6V43VX5G7NCOZ4B	A2SPF0XH4LNRK1	"n03666591::lighter,n02666624::a battery,n04299963::stamp,n03200231::dining area,n02802215::basket,n03306385::express,n04285008::sports car,n02999410::chain,n04202417::shop,n03926412::photographic paper"	::1::1::1::0::1::0::0::1::0::1	::1::1::1::1::1::0::1::1::1::1
36W0OB37HWE9I3N1ABNERUPBSHBHZG	A347XXV5JH19PB	"n03306385::express,n03666591::lighter,n03200231::dining area,n02999410::chain,n02666624::a battery,n04285008::sports car,n04299963::stamp,n02802215::basket,n03926412::photographic paper,n04202417::shop"	::0::1::0::1::1::0::1::1::1::0	::0::1::0::1::1::1::1::1::0::1
30ZX6P7VF8VF3YFF94HLGWVJK05J24	A1SHLCA57M79E6	"n03063599::coffee mug,n02963821::car door,n03092883::console table,n03106722::cord,n03490324::handwear,n06267991::yellow journalism,n04266162::space station,n03360731::flatcar,n03680248::load,n03416489::garage"	::1::0::1::1::1::0::0::0::0::0	::1::1::1::0::0::0::1::1::0::1
3OUYGIZWR7Y4TZFZPUIRU4OGW1S0P2	AQORJW4W8U9YU	"n03106722::cord,n03063599::coffee mug,n04266162::space station,n03416489::garage,n03360731::flatcar,n03092883::console table,n02963821::car door,n06267991::yellow journalism,n03680248::load,n03490324::handwear"	::0::0::0::0::0::1::0::0::0::1	::1::1::1::1::1::1::1::1::1::1
3Q5C1WP23M107EIY1YDDA329ATY51P	A2AJWXDQP805QJ	"n03416489::garage,n04266162::space station,n02963821::car door,n03360731::flatcar,n03106722::cord,n03680248::load,n03092883::console table,n06267991::yellow journalism,n03063599::coffee mug,n03490324::handwear"	::0::0::0::0::1::0::1::0::1::1	::1::1::1::1::0::0::1::0::1::1
340UGXU9DY1XE5OB9D5AP315YE0VUO	A347XXV5JH19PB	"n03063599::coffee mug,n03680248::load,n03106722::cord,n03092883::console table,n03360731::flatcar,n04266162::space station,n06267991::yellow journalism,n03416489::garage,n02963821::car door,n03490324::handwear"	::1::0::1::1::1::0::0::0::1::1	::1::0::0::1::1::1::0::1::1::0
3BDCF01OGXUBZ9WM5A0T5F9G34DYLA	A2OXXHGAM7B0Y	"n06267991::yellow journalism,n03490324::handwear,n03063599::coffee mug,n03680248::load,n04266162::space station,n02963821::car door,n03360731::flatcar,n03416489::garage,n03092883::console table,n03106722::cord"	::0::1::1::1::0::1::0::0::1::0	::0::0::1::1::1::1::1::1::1::1
3S4AW7T80BIV12I2G3CMPQ59834L42	A22L4CUSXSK47B	"n02932693::cabin class,n03839671::observatory,n03079230::compact disk,n04157320::sculpture,n02871824::boom,n03778817::module,n03618982::kirk,n04177654::set square,n04101375::roll,n04452528::tool bag"	::0::0::1::1::1::1::0::1::1::1	::1::1::1::1::0::1::1::0::0::1
34YB12FSQYOVJ0T7BGF2YSH1YD9MGY	A1DLTQZ0A87CQ6	"n03618982::kirk,n03778817::module,n04157320::sculpture,n03839671::observatory,n02871824::boom,n03079230::compact disk,n04177654::set square,n02932693::cabin class,n04101375::roll,n04452528::tool bag"	::0::0::0::0::0::1::1::0::0::1	::0::0::1::1::0::1::1::0::1::1
3WAKVUDHUWGV3FNFRF2UJPL2CWY7UD	A347XXV5JH19PB	"n04452528::tool bag,n03839671::observatory,n02871824::boom,n04157320::sculpture,n02932693::cabin class,n03618982::kirk,n03079230::compact disk,n03778817::module,n04101375::roll,n04177654::set square"	::1::0::1::1::0::0::1::1::0::1	::1::1::1::1::1::1::1::1::1::1
3F0BG9B9MPNCKO7K1GZJMARF8K9Y72	AWY5WM7BEBZD8	"n03079230::compact disk,n04101375::roll,n03778817::module,n03839671::observatory,n02932693::cabin class,n03618982::kirk,n04452528::tool bag,n04157320::sculpture,n04177654::set square,n02871824::boom"	::1::0::0::0::0::0::1::1::1::0	::1::0::0::1::0::1::1::1::1::0
3NC5L260MOMD53IODCOX8B6USYTFOC	A2UHEMRALXKUCF	"n03839671::observatory,n04157320::sculpture,n04177654::set square,n02932693::cabin class,n03778817::module,n04452528::tool bag,n03079230::compact disk,n04101375::roll,n03618982::kirk,n02871824::boom"	::0::1::1::0::1::1::1::1::0::1	::1::1::1::0::1::1::1::1::1::1
3S4AW7T80BIV12I2G3CMPQ59836L44	A3MMAPU4BLGGH7	"n04335693::street clothes,n04453037::tooth,n04146050::school,n02849154::blanket,n03531691::hood,n03032252::cinema,n04204081::shopping bag,n02874214::booth,n02977936::casino,n03728437::match"	::1::1::0::1::1::0::1::0::0::1	::0::1::1::1::1::1::1::0::1::1
30H4UDGLT2I1WDM6EZ5PS1VTZ4TMPZ	A1G187YBG0DVMQ	"n04146050::school,n04335693::street clothes,n03032252::cinema,n04453037::tooth,n03531691::hood,n02977936::casino,n03728437::match,n02849154::blanket,n04204081::shopping bag,n02874214::booth"	::0::1::0::0::1::0::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3ERMJ6L4DYSCQ7I6IDB8SF48ZAPM7U	AQORJW4W8U9YU	"n03032252::cinema,n04146050::school,n04335693::street clothes,n04204081::shopping bag,n02849154::blanket,n04453037::tooth,n02977936::casino,n02874214::booth,n03728437::match,n03531691::hood"	::0::0::1::1::0::0::0::0::1::1	::1::1::1::1::0::0::1::1::1::1
3JBT3HLQF821VKLPTOVJ03R2E8EPZM	A2LKQQ3GNDQ017	"n03032252::cinema,n02977936::casino,n04453037::tooth,n02874214::booth,n04204081::shopping bag,n03531691::hood,n04335693::street clothes,n03728437::match,n04146050::school,n02849154::blanket"	::0::0::0::0::1::1::1::1::0::1	::1::1::0::1::1::1::0::1::0::1
33LK57MYLT5Y8C1HL5ZDV8WD1SOSZ8	A2OXXHGAM7B0Y	"n03531691::hood,n02977936::casino,n02874214::booth,n04335693::street clothes,n04146050::school,n02849154::blanket,n04453037::tooth,n03728437::match,n04204081::shopping bag,n03032252::cinema"	::0::0::0::1::0::1::1::1::1::0	::1::1::1::0::1::1::1::1::1::1
3ZPBJO59KP16F2I5ITYH02684ZRDH3	AWY5WM7BEBZD8	"n03489162::hand tool,n04500060::turner,n03897943::patch,n03036244::city university,n03956785::planner,n03434285::generator,n03800563::museum,n03388043::fountain,n03035252::circus tent,n03663910::life-support system"	::1::1::1::0::1::1::0::0::1::0	::0::1::1::1::1::1::1::1::1::0
31IBVUNM9SZ8VNRLEOAB3302ORIVFM	A27QCN3GYCZTPE	"n03956785::planner,n03897943::patch,n03434285::generator,n03489162::hand tool,n03663910::life-support system,n04500060::turner,n03388043::fountain,n03800563::museum,n03036244::city university,n03035252::circus tent"	::1::1::1::1::0::1::1::0::0::0	::1::1::1::1::1::1::1::1::1::1
3ZAK8W07I4EHL4NV6GHL4ABF4IM0U0	A1ID9ZY7QSY5CG	"n04500060::turner,n03036244::city university,n03956785::planner,n03663910::life-support system,n03897943::patch,n03489162::hand tool,n03434285::generator,n03035252::circus tent,n03800563::museum,n03388043::fountain"	::1::0::1::0::1::1::1::0::0::0	::1::1::1::1::1::1::1::1::1::1
3G5W44VEU7I0TCT4Q42MJFPX98KGKT	A347XXV5JH19PB	"n03897943::patch,n03434285::generator,n03388043::fountain,n03800563::museum,n03663910::life-support system,n03489162::hand tool,n03035252::circus tent,n03956785::planner,n04500060::turner,n03036244::city university"	::1::1::1::0::0::1::0::1::1::0	::1::1::1::1::0::1::1::1::1::1
3VBEN272MKZYHV6CVDBOA1G7Q2YSGN	A2OXXHGAM7B0Y	"n03434285::generator,n03663910::life-support system,n03035252::circus tent,n03388043::fountain,n03956785::planner,n03489162::hand tool,n04500060::turner,n03036244::city university,n03897943::patch,n03800563::museum"	::1::0::0::1::1::1::1::0::1::0	::1::1::1::1::1::1::1::1::1::1
3I02618YA06K9LRFN1WBJBCNCQSUPV	A36LOA6VLJU157	"n04436185::timber,n04559620::water filter,n03574555::institution,n04436329::timber,n03941013::pin,n03467517::guitar,n03319745::family room,n03001115::chain store,n03121040::court,n02735688::area"	::1::1::0::1::1::1::0::0::0::0	::0::1::0::0::0::1::1::0::0::1
379J5II41OGDT4FV59OZYCH0LSZEL2	A3MMAPU4BLGGH7	"n03467517::guitar,n03941013::pin,n04436329::timber,n03121040::court,n02735688::area,n03319745::family room,n03574555::institution,n04436185::timber,n03001115::chain store,n04559620::water filter"	::1::1::0::0::0::0::0::0::0::1	::1::1::0::1::0::1::0::0::1::1
3TEM0PF1Q5XV42C9KLRWUA7RIIOD00	A1G187YBG0DVMQ	"n04436185::timber,n04436329::timber,n03467517::guitar,n02735688::area,n03574555::institution,n03001115::chain store,n03121040::court,n03319745::family room,n03941013::pin,n04559620::water filter"	::0::0::1::0::0::0::0::0::1::0	::0::0::1::0::0::0::1::1::1::1
35LDD5557A40LMPQ170HWK9U5UNMKY	A27QCN3GYCZTPE	"n03001115::chain store,n02735688::area,n03574555::institution,n04436329::timber,n04559620::water filter,n03319745::family room,n04436185::timber,n03121040::court,n03941013::pin,n03467517::guitar"	::0::0::0::0::1::0::0::0::1::1	::1::0::1::0::1::1::0::1::1::1
3D4CH1LGEATGCGADM7BXT6BHYE7G9Y	A2C57JVPIOH7F2	"n03941013::pin,n04436185::timber,n03001115::chain store,n02735688::area,n03121040::court,n03467517::guitar,n04436329::timber,n03319745::family room,n03574555::institution,n04559620::water filter"	::1::0::0::0::0::1::0::0::0::1	::1::0::1::1::1::1::0::1::1::1
3UWN2HHPUY54RNNYIHOJ0LP4RE9SNK	AQORJW4W8U9YU	"n03540595::hospital,n04355267::sun deck,n02871824::boom,n03211616::display panel,n03075634::combine,n04028315::puzzle,n03333129::field glass,n03345487::fire engine,n02993546::center,n03196324::digital computer"	::0::0::1::0::0::1::1::0::0::1	::1::1::0::1::1::1::1::1::1::1
3TDXMTX3CBU7QOEAEO8OU8XVNQQ6I4	AWY5WM7BEBZD8	"n03345487::fire engine,n03540595::hospital,n04355267::sun deck,n02871824::boom,n04028315::puzzle,n03211616::display panel,n03333129::field glass,n02993546::center,n03196324::digital computer,n03075634::combine"	::0::0::0::0::1::1::1::0::1::0	::1::1::1::0::1::1::1::0::1::1
3DZQRBDBSLFXNJUO0Y44R7RYMXS3SP	A2SPF0XH4LNRK1	"n03211616::display panel,n03075634::combine,n03196324::digital computer,n03345487::fire engine,n04355267::sun deck,n04028315::puzzle,n03333129::field glass,n02993546::center,n02871824::boom,n03540595::hospital"	::1::1::1::1::0::1::1::0::1::0	::1::1::1::1::1::1::1::1::1::1
378XPAWRUCD8DQQD41P0ADZHJ9IIA8	A347XXV5JH19PB	"n03540595::hospital,n04028315::puzzle,n02993546::center,n02871824::boom,n04355267::sun deck,n03345487::fire engine,n03333129::field glass,n03196324::digital computer,n03075634::combine,n03211616::display panel"	::0::1::0::1::0::0::1::1::0::1	::1::1::1::1::1::1::1::1::1::1
30OG32W0SUB3H4IGHM4EB4LPQNBENG	A2MQ6VUSKCQ9FH	"n03196324::digital computer,n03333129::field glass,n02871824::boom,n03540595::hospital,n04355267::sun deck,n04028315::puzzle,n03345487::fire engine,n03075634::combine,n03211616::display panel,n02993546::center"	::1::1::0::0::0::1::0::0::1::0	::1::1::0::1::1::1::1::1::1::1
3S06PH7KSR4VBRXRG4VW8FQ1NAS1DP	A38B5QC57UTM1H	"n03949761::pit,n02871525::bookshop,n02882647::bowling pin,n03063073::coffee cup,n04190052::shelf,n04165945::security system,n03461385::grocery store,n04064747::record sleeve,n02855925::blue,n03595614::jersey"	::0::0::1::1::1::1::0::1::0::1	::1::1::1::1::0::1::1::1::0::1
3OXV7EAXLEQS0LWRTL11Q2V648R36Z	A2BA9Y6VGW6WS1	"n03595614::jersey,n04165945::security system,n03063073::coffee cup,n02871525::bookshop,n04190052::shelf,n02882647::bowling pin,n03461385::grocery store,n04064747::record sleeve,n03949761::pit,n02855925::blue"	::1::1::1::0::1::1::0::1::0::0	::1::1::1::1::1::1::1::1::0::0
3OLF68YTN91O3ZON3TJF7GMP3HOAF7	A347XXV5JH19PB	"n03063073::coffee cup,n04064747::record sleeve,n04165945::security system,n02855925::blue,n02882647::bowling pin,n02871525::bookshop,n04190052::shelf,n03949761::pit,n03461385::grocery store,n03595614::jersey"	::1::1::1::0::1::0::1::0::0::1	::1::1::1::0::1::1::1::0::1::1
3IX2EGZR7BJW7IW0OUWMH43RWSVJRT	A2OXXHGAM7B0Y	"n03949761::pit,n03461385::grocery store,n03063073::coffee cup,n02871525::bookshop,n04190052::shelf,n02855925::blue,n03595614::jersey,n04165945::security system,n04064747::record sleeve,n02882647::bowling pin"	::0::0::1::0::1::0::1::1::0::1	::1::1::1::1::1::0::1::1::1::1
3AUQQEL7U5THYJCVB6RQ0WDYIP3V0S	A2SPF0XH4LNRK1	"n02871525::bookshop,n02882647::bowling pin,n02855925::blue,n04165945::security system,n04064747::record sleeve,n03595614::jersey,n03461385::grocery store,n03063073::coffee cup,n04190052::shelf,n03949761::pit"	::0::1::0::1::1::1::0::1::1::0	::1::1::0::1::1::1::1::1::1::1
3Z9WI9EOZZOET8OFAAK44F1YO8NKHM	A757KD6CSFAKF	"n04328946::storage space,n03043958::clip,n03681477::local area network,n03667235::lighting,n03309808::fabric,n03700963::machine,n02766320::baby bed,n03136254::cross bit,n04322801::stock car,n04548280::wall clock"	::0::1::0::0::1::1::1::1::0::1	::0::1::0::0::1::1::1::1::1::1
39GHHAVOMFRP6CU2DI099BSH4EBJ4A	A2UHEMRALXKUCF	"n03309808::fabric,n03043958::clip,n03681477::local area network,n04548280::wall clock,n03700963::machine,n04328946::storage space,n03136254::cross bit,n03667235::lighting,n04322801::stock car,n02766320::baby bed"	::1::1::0::1::1::0::1::0::0::1	::0::1::0::1::1::0::1::0::1::1
3T111IHZ5EQ716JR2I59SAPO0NJ9RO	A2I159VITLD19Y	"n03667235::lighting,n02766320::baby bed,n04328946::storage space,n03700963::machine,n04548280::wall clock,n03136254::cross bit,n03309808::fabric,n03681477::local area network,n03043958::clip,n04322801::stock car"	::1::1::1::1::1::1::1::0::1::0	::0::1::0::1::1::1::0::1::1::1
3Y9N9SS8LYBRLUB6389FW85YLUJD36	A347XXV5JH19PB	"n03700963::machine,n03681477::local area network,n03043958::clip,n02766320::baby bed,n03136254::cross bit,n04322801::stock car,n03667235::lighting,n04328946::storage space,n03309808::fabric,n04548280::wall clock"	::1::0::1::1::1::0::1::0::1::1	::1::0::1::1::1::1::0::0::1::1
3I33IC7ZWF2425CBFY48NXS0UDNA2R	A2SPF0XH4LNRK1	"n04322801::stock car,n03681477::local area network,n04548280::wall clock,n03667235::lighting,n04328946::storage space,n03136254::cross bit,n03309808::fabric,n02766320::baby bed,n03043958::clip,n03700963::machine"	::0::0::1::1::1::1::1::1::1::1	::1::0::1::0::0::1::0::1::1::1
3OCHAWUVGOKBFYOUFE2Q71PSCY4KXD	AQDOCXT1VPDVF	"n03025250::chopine,n02692232::airport,n02979836::cast,n04088797::ride,n03482523::hand,n02774152::bag,n03733644::measure,n03349892::first class,n03326795::felt,n02879309::boutique"	::1::0::0::0::1::1::0::0::1::0	::1::1::1::1::0::1::1::0::1::1
3LO69W1SU3DBDIBMB4ENYF2CY8DGLK	A2SPF0XH4LNRK1	"n02692232::airport,n03482523::hand,n03326795::felt,n02979836::cast,n03025250::chopine,n03733644::measure,n04088797::ride,n02879309::boutique,n03349892::first class,n02774152::bag"	::0::0::1::1::1::1::0::0::0::1	::1::1::0::1::1::1::1::1::1::1
31UV0MXWNQCB7KEW95YJ22JVRV85IG	A2AJWXDQP805QJ	"n02774152::bag,n02979836::cast,n03349892::first class,n03025250::chopine,n03326795::felt,n03482523::hand,n03733644::measure,n02692232::airport,n02879309::boutique,n04088797::ride"	::1::0::0::1::1::0::1::0::0::0	::1::1::0::1::0::0::0::1::1::0
3Q8GYXHFEP2KUHSWHV2XRZL0EQSC5P	A2OXXHGAM7B0Y	"n03326795::felt,n03733644::measure,n02879309::boutique,n02774152::bag,n04088797::ride,n02692232::airport,n03349892::first class,n02979836::cast,n03482523::hand,n03025250::chopine"	::1::1::0::1::0::0::0::0::0::1	::0::1::1::1::1::1::0::1::1::1
36W0OB37HWE9I3N1ABNERUPBSH8HZD	AWY5WM7BEBZD8	"n03733644::measure,n02692232::airport,n03326795::felt,n02879309::boutique,n03482523::hand,n02979836::cast,n03025250::chopine,n04088797::ride,n03349892::first class,n02774152::bag"	::0::0::1::0::0::0::1::0::0::1	::0::1::1::0::0::1::1::0::0::1
3IJXV6UZ1XJ0C7CU6CBM53ORJDUIR4	A91613OK8J29A	"n03226880::double door,n04152593::screen,n02925519::business suit,n04130257::salad bowl,n04405907::television receiver,n04181718::shade,n03484083::handcart,n04598965::woof,n03871524::packaging,n03887330::paper feed"	::0::1::1::1::1::1::1::0::1::1	::1::1::1::1::1::1::1::0::0::1
3E13VNJ1NNVCJ2DD8IW7ZC6EFF2I1A	A1OKGXKTU02BPE	"n03871524::packaging,n04181718::shade,n02925519::business suit,n04130257::salad bowl,n04598965::woof,n03887330::paper feed,n04152593::screen,n03226880::double door,n03484083::handcart,n04405907::television receiver"	::0::0::1::1::0::0::1::1::1::1	::0::0::1::1::0::0::1::0::1::1
3VJ40NV2QINNO80P8WTMPFLVJ7STOP	A1G187YBG0DVMQ	"n04130257::salad bowl,n03226880::double door,n04598965::woof,n04152593::screen,n03887330::paper feed,n02925519::business suit,n03871524::packaging,n03484083::handcart,n04181718::shade,n04405907::television receiver"	::1::0::1::1::0::1::1::1::0::1	::1::1::0::1::1::1::1::1::0::1
31LM9EDVOLSBSK48VNF58KYHVV3NJ6	A347XXV5JH19PB	"n04152593::screen,n03871524::packaging,n03887330::paper feed,n03226880::double door,n02925519::business suit,n03484083::handcart,n04405907::television receiver,n04181718::shade,n04130257::salad bowl,n04598965::woof"	::1::1::1::1::1::1::1::0::1::0	::1::0::1::1::1::1::1::0::1::0
39PAAFCODM0IES9M98F0K7F3F0XVT1	A357X6NIBOTHH0	"n03871524::packaging,n03887330::paper feed,n04152593::screen,n04405907::television receiver,n03226880::double door,n04130257::salad bowl,n03484083::handcart,n02925519::business suit,n04181718::shade,n04598965::woof"	::1::1::1::1::1::1::1::1::1::0	::0::1::1::0::0::1::1::1::0::0
3HFNH7HEMHEM4FRZ39MJF1168E2QGL	A2OMY4DX7JQVU0	"n02822220::bedspread,n03820154::net,n03196062::digital camera,n02756098::attire,n03236735::dress,n04468005::train,n04388743::tank,n04140853::saw set,n03283221::emergency room,n02865931::bolt"	::1::1::1::1::1::0::1::1::0::1	::1::1::1::0::1::1::1::0::0::1
3180JW2OT4C72VY2RNJJE3YV4AXJ56	A1WR2AKX164FZO	"n02865931::bolt,n03283221::emergency room,n04388743::tank,n03236735::dress,n03820154::net,n04140853::saw set,n04468005::train,n02822220::bedspread,n03196062::digital camera,n02756098::attire"	::1::0::1::1::1::1::0::1::1::1	::1::1::1::1::1::1::1::1::1::0
3XM0HYN6NKZ3KPUTX1H6FTQKQ23PEE	AWY5WM7BEBZD8	"n02865931::bolt,n03820154::net,n03196062::digital camera,n02756098::attire,n04388743::tank,n03283221::emergency room,n02822220::bedspread,n04140853::saw set,n04468005::train,n03236735::dress"	::1::1::1::1::0::0::1::1::0::1	::1::1::1::0::1::0::1::1::1::1
3NL0RFNU0FNKHW0KV30LAQSUJ354KO	A1ID9ZY7QSY5CG	"n04468005::train,n03196062::digital camera,n04388743::tank,n03820154::net,n02865931::bolt,n04140853::saw set,n03283221::emergency room,n02756098::attire,n03236735::dress,n02822220::bedspread"	::0::1::0::1::1::1::0::1::1::1	::1::1::1::1::1::1::1::0::1::1
3DPNQGW4LLFDIHFVTZ6K07NCI8S64S	A347XXV5JH19PB	"n03236735::dress,n02822220::bedspread,n04468005::train,n03820154::net,n02756098::attire,n02865931::bolt,n03283221::emergency room,n03196062::digital camera,n04140853::saw set,n04388743::tank"	::1::1::0::1::1::1::0::1::1::0	::1::1::1::1::0::1::1::1::1::1
3L70J4KAZGMR5FARCNOPJGJ4R4YADM	A91613OK8J29A	"n02894158::breakfast area,n03316105::facsimile,n06267893::tabloid,n04294879::stable,n04474466::trap,n03482001::hammer,n03135532::cross,n03378765::football,n03196062::digital camera,n04024274::punch press"	::0::1::1::0::1::1::0::0::1::1	::1::1::1::1::1::1::1::1::1::1
3I33IC7ZWF2425CBFY48NXS0UDF2AB	A2NPNKSW89BODS	"n03482001::hammer,n03378765::football,n04474466::trap,n02894158::breakfast area,n04294879::stable,n04024274::punch press,n06267893::tabloid,n03316105::facsimile,n03135532::cross,n03196062::digital camera"	::1::1::1::0::0::0::1::1::0::1	::1::1::1::0::0::0::0::0::0::1
32UTUBMZ7GWII6F59MOFKD9H9TUVB8	A347XXV5JH19PB	"n03135532::cross,n02894158::breakfast area,n03482001::hammer,n03378765::football,n04474466::trap,n06267893::tabloid,n03196062::digital camera,n04024274::punch press,n03316105::facsimile,n04294879::stable"	::1::0::1::1::1::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3C5W7UE9CFQ65MOX0QF6MEHW13DXM9	A2OXXHGAM7B0Y	"n06267893::tabloid,n03482001::hammer,n03135532::cross,n04474466::trap,n03316105::facsimile,n03196062::digital camera,n03378765::football,n02894158::breakfast area,n04024274::punch press,n04294879::stable"	::1::1::1::1::1::1::1::0::0::0	::1::1::1::1::1::1::1::1::1::1
3YJ6NA41JBGBV5GLB2SXC93CVAAJP4	A2SPF0XH4LNRK1	"n03482001::hammer,n02894158::breakfast area,n04294879::stable,n04024274::punch press,n03378765::football,n03316105::facsimile,n03135532::cross,n06267893::tabloid,n03196062::digital camera,n04474466::trap"	::1::0::0::1::1::1::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3E1QT0TDFP9UU2XY735MEMTMTL88IK	A757KD6CSFAKF	"n03738472::mechanism,n04517408::vacation home,n03819336::nest,n04105893::room,n02861886::body,n03414162::game equipment,n04547592::wall,n04058721::read/write head,n04164406::second base,n04331277::straight chair"	::1::0::1::0::0::1::0::1::1::1	::1::1::1::1::1::0::1::1::1::1
3IAEQB9FMEKOCSDUDSKH15GVJNBDWA	AWY5WM7BEBZD8	"n03414162::game equipment,n04164406::second base,n04547592::wall,n04058721::read/write head,n04105893::room,n04331277::straight chair,n03819336::nest,n03738472::mechanism,n04517408::vacation home,n02861886::body"	::1::0::0::0::0::1::1::0::0::0	::0::1::1::0::1::1::1::0::1::1
30ZX6P7VF8VF3YFF94HLGWVJK0DJ2C	A347XXV5JH19PB	"n03819336::nest,n04164406::second base,n03414162::game equipment,n04517408::vacation home,n04105893::room,n04331277::straight chair,n04058721::read/write head,n03738472::mechanism,n02861886::body,n04547592::wall"	::1::1::1::0::0::1::0::0::0::0	::0::1::0::1::1::1::0::1::1::1
39JEC7537U11SB7BNMKAVXFZREYVCJ	A2OXXHGAM7B0Y	"n03414162::game equipment,n03819336::nest,n03738472::mechanism,n04517408::vacation home,n04331277::straight chair,n04164406::second base,n04105893::room,n02861886::body,n04547592::wall,n04058721::read/write head"	::1::1::1::0::1::1::0::0::0::1	::0::1::1::1::1::1::1::1::1::1
326O153BMIYUVSR3SSQBFZ9VCJ8EDX	AUYFQG42DD51J	"n04105893::room,n04164406::second base,n03819336::nest,n04331277::straight chair,n04517408::vacation home,n03738472::mechanism,n04058721::read/write head,n02861886::body,n03414162::game equipment,n04547592::wall"	::0::1::1::1::0::0::0::0::1::0	::1::1::1::1::1::0::0::1::0::0
3A0EX8ZRN8OZM0AAEXBZRCDBRAQBYR	A36LOA6VLJU157	"n04080705::resort hotel,n02940385::call center,n04548280::wall clock,n03529175::home room,n04066270::red carpet,n04019101::public transport,n06263609::print media,n03738241::mechanical system,n03036022::city hall,n03593222::japan"	::0::0::1::0::1::0::1::1::0::0	::1::1::1::0::1::1::0::0::1::0
31IBVUNM9SZ8VNRLEOAB3302ORHVFL	AQORJW4W8U9YU	"n06263609::print media,n03036022::city hall,n03738241::mechanical system,n03593222::japan,n04548280::wall clock,n03529175::home room,n02940385::call center,n04019101::public transport,n04080705::resort hotel,n04066270::red carpet"	::0::0::0::0::1::0::0::0::0::0	::1::1::1::1::1::1::1::1::1::1
379J5II41OGDT4FV59OZYCH0LSAELD	AWY5WM7BEBZD8	"n06263609::print media,n03738241::mechanical system,n04080705::resort hotel,n03036022::city hall,n04548280::wall clock,n03529175::home room,n02940385::call center,n03593222::japan,n04019101::public transport,n04066270::red carpet"	::1::0::0::0::1::0::0::0::0::1	::0::0::1::1::1::0::0::0::0::1
3AZHRG4CU4KXMAACRWLKH1LFR5A303	A2SPF0XH4LNRK1	"n04080705::resort hotel,n03036022::city hall,n03529175::home room,n02940385::call center,n06263609::print media,n03738241::mechanical system,n04066270::red carpet,n04548280::wall clock,n04019101::public transport,n03593222::japan"	::0::0::0::0::1::1::1::1::0::0	::1::1::1::1::1::1::1::1::1::1
